host,ip,port,protocol,title,domain,country,city,link,org
123.163.20.113:85,123.163.20.113,85,http,,,CN,Luoyang,http://123.163.20.113:85,Chinanet
115.196.215.225:85,115.196.215.225,85,http,,,CN,Hangzhou,http://115.196.215.225:85,Chinanet
114.245.198.169:85,114.245.198.169,85,http,,,CN,Beijing,http://114.245.198.169:85,China Unicom Beijing Province Network
123.163.19.4:85,123.163.19.4,85,http,,,CN,Luoyang,http://123.163.19.4:85,Chinanet
119.49.182.255:85,119.49.182.255,85,http,,,CN,Jilin,http://119.49.182.255:85,CHINA UNICOM China169 Backbone
222.136.229.65:85,222.136.229.65,85,http,,,CN,Pingdingshan,http://222.136.229.65:85,CHINA UNICOM China169 Backbone
112.193.144.252:85,112.193.144.252,85,http,,,CN,Chengdu,http://112.193.144.252:85,CHINA UNICOM China169 Backbone
110.248.147.90:85,110.248.147.90,85,http,,,CN,Handan,http://110.248.147.90:85,CHINA UNICOM China169 Backbone
183.94.146.79:85,183.94.146.79,85,http,,,CN,Wuhan,http://183.94.146.79:85,CHINA UNICOM China169 Backbone
175.0.76.67:85,175.0.76.67,85,http,,,CN,Changsha,http://175.0.76.67:85,Chinanet
123.159.125.108:85,123.159.125.108,85,http,,,CN,Wenzhou,http://123.159.125.108:85,CHINA UNICOM China169 Backbone
125.118.122.139:85,125.118.122.139,85,http,,,CN,Hangzhou,http://125.118.122.139:85,Chinanet
101.66.195.96:85,101.66.195.96,85,http,,,CN,Jinhua,http://101.66.195.96:85,CHINA UNICOM China169 Backbone
125.118.16.43:85,125.118.16.43,85,http,,,CN,Hangzhou,http://125.118.16.43:85,Chinanet
47.116.70.223:85,47.116.70.223,85,http,,,CN,Shanghai,http://47.116.70.223:85,"Hangzhou Alibaba Advertising Co.,Ltd."
113.26.202.52:85,113.26.202.52,85,http,,,CN,Fenyang,http://113.26.202.52:85,Chinanet
116.128.243.121:85,116.128.243.121,85,http,,,CN,Changsha,http://116.128.243.121:85,CHINA UNICOM China169 Backbone
60.174.64.25:85,60.174.64.25,85,http,,,CN,Bozhou,http://60.174.64.25:85,Chinanet
183.234.143.5:85,183.234.143.5,85,http,,,CN,Beijing,http://183.234.143.5:85,"China Mobile Communications Group Co., Ltd."
49.87.154.246:85,49.87.154.246,85,http,,,CN,Huai'an,http://49.87.154.246:85,Chinanet
125.125.52.63:85,125.125.52.63,85,http,,,CN,Huzhou,http://125.125.52.63:85,Chinanet
139.227.221.147:85,139.227.221.147,85,http,,,CN,Shanghai,http://139.227.221.147:85,China Unicom Shanghai network
116.135.52.86:85,116.135.52.86,85,http,,,CN,Fenyang,http://116.135.52.86:85,CHINA UNICOM China169 Backbone
116.135.52.54:85,116.135.52.54,85,http,,,CN,Fenyang,http://116.135.52.54:85,CHINA UNICOM China169 Backbone
125.71.73.109:85,125.71.73.109,85,http,,,CN,Chengdu,http://125.71.73.109:85,Chinanet
125.125.56.189:85,125.125.56.189,85,http,,,CN,Huzhou,http://125.125.56.189:85,Chinanet
42.238.232.161:85,42.238.232.161,85,http,,,CN,Jiaozuo,http://42.238.232.161:85,CHINA UNICOM China169 Backbone
222.240.220.198:85,222.240.220.198,85,http,,,CN,Changsha,http://222.240.220.198:85,Chinanet
183.223.157.123:85,183.223.157.123,85,http,,,CN,Guang'an,http://183.223.157.123:85,"China Mobile Communications Group Co., Ltd."
119.49.182.129:85,119.49.182.129,85,http,,,CN,Jilin,http://119.49.182.129:85,CHINA UNICOM China169 Backbone
221.7.175.154:85,221.7.175.154,85,http,,,CN,Beihai,http://221.7.175.154:85,CHINA UNICOM China169 Backbone
221.7.175.127:85,221.7.175.127,85,http,,,CN,Beihai,http://221.7.175.127:85,CHINA UNICOM China169 Backbone
121.43.180.56:85,121.43.180.56,85,http,,,CN,Hangzhou,http://121.43.180.56:85,"Hangzhou Alibaba Advertising Co.,Ltd."
60.187.244.107:85,60.187.244.107,85,http,,,CN,Shaoxing,http://60.187.244.107:85,Chinanet
123.13.159.86:85,123.13.159.86,85,http,,,CN,Zhoukou,http://123.13.159.86:85,CHINA UNICOM China169 Backbone
101.65.135.148:85,101.65.135.148,85,http,,,CN,Wenzhou,http://101.65.135.148:85,CHINA UNICOM China169 Backbone
114.241.105.149:85,114.241.105.149,85,http,,,CN,Beijing,http://114.241.105.149:85,China Unicom Beijing Province Network
171.14.92.193:85,171.14.92.193,85,http,,,CN,Xinyang,http://171.14.92.193:85,Chinanet
101.66.195.41:85,101.66.195.41,85,http,,,CN,Jinhua,http://101.66.195.41:85,CHINA UNICOM China169 Backbone
218.77.84.102:85,218.77.84.102,85,http,,,CN,Yongzhou,http://218.77.84.102:85,Chinanet
123.154.46.136:85,123.154.46.136,85,http,,,CN,Wenzhou,http://123.154.46.136:85,CHINA UNICOM China169 Backbone
106.55.20.214:85,106.55.20.214,85,http,,,CN,Guangzhou,http://106.55.20.214:85,Shenzhen Tencent Computer Systems Company Limited
27.188.104.94:85,27.188.104.94,85,http,,,CN,Handan,http://27.188.104.94:85,Chinanet
81.71.102.84:85,81.71.102.84,85,http,,,CN,Guangzhou,http://81.71.102.84:85,Shenzhen Tencent Computer Systems Company Limited
125.43.243.132:85,125.43.243.132,85,http,,,CN,Jiaozuo,http://125.43.243.132:85,CHINA UNICOM China169 Backbone
42.231.31.186:85,42.231.31.186,85,http,,,CN,Zhengzhou,http://42.231.31.186:85,CHINA UNICOM China169 Backbone
1.197.255.72:85,1.197.255.72,85,http,,,CN,Luohe,http://1.197.255.72:85,Chinanet
60.26.14.93:85,60.26.14.93,85,http,,,CN,Tianjin,http://60.26.14.93:85,CHINA UNICOM China169 Backbone
139.208.184.175:85,139.208.184.175,85,http,,,CN,Yanji,http://139.208.184.175:85,CHINA UNICOM China169 Backbone
219.135.176.78:85,219.135.176.78,85,http,,,CN,Guangzhou,http://219.135.176.78:85,Chinanet
124.165.251.82:85,124.165.251.82,85,http,,,CN,Taiyuan,http://124.165.251.82:85,CHINA UNICOM China169 Backbone
119.4.18.67:85,119.4.18.67,85,http,,,CN,Mianyang,http://119.4.18.67:85,CHINA UNICOM China169 Backbone
153.0.171.163:85,153.0.171.163,85,http,,,CN,Haikou,http://153.0.171.163:85,CHINA UNICOM China169 Backbone
120.237.24.142:85,120.237.24.142,85,http,,,CN,Beijing,http://120.237.24.142:85,China Mobile communications corporation
1.197.253.15:85,1.197.253.15,85,http,,,CN,Luohe,http://1.197.253.15:85,Chinanet
220.187.216.67:85,220.187.216.67,85,http,,,CN,Shaoxing,http://220.187.216.67:85,Chinanet
1.197.253.11:85,1.197.253.11,85,http,,,CN,Luohe,http://1.197.253.11:85,Chinanet
171.15.27.181:85,171.15.27.181,85,http,,,CN,Luohe,http://171.15.27.181:85,Chinanet
187.189.177.26:85,187.189.177.26,85,http,,,MX,Toluca,http://187.189.177.26:85,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V."
27.192.177.175:85,27.192.177.175,85,http,,,CN,Weifang,http://27.192.177.175:85,CHINA UNICOM China169 Backbone
36.32.20.52:85,36.32.20.52,85,http,,,CN,Hefei,http://36.32.20.52:85,UNICOM AnHui province network
180.173.74.68:85,180.173.74.68,85,http,,,CN,Shanghai,http://180.173.74.68:85,China Telecom (Group)
115.220.161.5:85,115.220.161.5,85,http,,,CN,Hangzhou,http://115.220.161.5:85,Chinanet
60.2.173.162:85,60.2.173.162,85,http,,,CN,Tangshan,http://60.2.173.162:85,CHINA UNICOM China169 Backbone
112.26.18.35:85,112.26.18.35,85,http,,,CN,Beijing,http://112.26.18.35:85,"China Mobile Communications Group Co., Ltd."
36.136.38.87:85,36.136.38.87,85,http,,,CN,Nanning,http://36.136.38.87:85,"China Mobile Communications Group Co., Ltd."
119.166.53.110:85,119.166.53.110,85,http,,,CN,Qingdao,http://119.166.53.110:85,CHINA UNICOM China169 Backbone
101.66.199.20:85,101.66.199.20,85,http,,,CN,Jinhua,http://101.66.199.20:85,CHINA UNICOM China169 Backbone
116.233.166.192:85,116.233.166.192,85,http,,,CN,Shanghai,http://116.233.166.192:85,China Telecom (Group)
101.66.199.102:85,101.66.199.102,85,http,,,CN,Jinhua,http://101.66.199.102:85,CHINA UNICOM China169 Backbone
125.125.226.58:85,125.125.226.58,85,http,,,CN,Huzhou,http://125.125.226.58:85,Chinanet
119.51.58.205:85,119.51.58.205,85,http,,,CN,Changchun,http://119.51.58.205:85,CHINA UNICOM China169 Backbone
171.8.138.81:85,171.8.138.81,85,http,,,CN,Zhengzhou,http://171.8.138.81:85,Chinanet
103.39.222.35:85,103.39.222.35,85,http,,,CN,Guangzhou,http://103.39.222.35:85,China Telecom (Group)
182.92.200.53:85,182.92.200.53,85,http,,,CN,Beijing,http://182.92.200.53:85,"Hangzhou Alibaba Advertising Co.,Ltd."
60.187.247.53:85,60.187.247.53,85,http,,,CN,Shaoxing,http://60.187.247.53:85,Chinanet
182.119.208.46:85,182.119.208.46,85,http,,,CN,Zhengzhou,http://182.119.208.46:85,CHINA UNICOM China169 Backbone
218.56.123.244:85,218.56.123.244,85,http,,,CN,Weihai,http://218.56.123.244:85,CHINA UNICOM China169 Backbone
39.80.140.74:85,39.80.140.74,85,http,,,CN,Linyi,http://39.80.140.74:85,CHINA UNICOM China169 Backbone
60.187.245.157:85,60.187.245.157,85,http,,,CN,Shaoxing,http://60.187.245.157:85,Chinanet
181.143.237.211:85,181.143.237.211,85,http,,,CO,Cali,http://181.143.237.211:85,UNE EPM TELECOMUNICACIONES S.A.
175.22.14.71:85,175.22.14.71,85,http,,,CN,Changchun,http://175.22.14.71:85,CHINA UNICOM China169 Backbone
171.127.88.201:85,171.127.88.201,85,http,,,CN,Taiyuan,http://171.127.88.201:85,CHINA UNICOM China169 Backbone
140.75.211.183:85,140.75.211.183,85,http,,,CN,Qingdao,http://140.75.211.183:85,Chinanet
58.52.17.121:85,58.52.17.121,85,http,,,CN,Shiyan,http://58.52.17.121:85,Chinanet
58.52.17.120:85,58.52.17.120,85,http,,,CN,Shiyan,http://58.52.17.120:85,Chinanet
125.43.252.48:85,125.43.252.48,85,http,,,CN,Jiaozuo,http://125.43.252.48:85,CHINA UNICOM China169 Backbone
115.196.209.123:85,115.196.209.123,85,http,,,CN,Hangzhou,http://115.196.209.123:85,Chinanet
125.43.248.57:85,125.43.248.57,85,http,,,CN,Jiaozuo,http://125.43.248.57:85,CHINA UNICOM China169 Backbone
111.43.104.93:85,111.43.104.93,85,http,,,CN,Beijing,http://111.43.104.93:85,HeiLongJiang Mobile Communication Company Limited
125.43.254.96:85,125.43.254.96,85,http,,,CN,Jiaozuo,http://125.43.254.96:85,CHINA UNICOM China169 Backbone
43.224.248.29:85,43.224.248.29,85,http,,,CN,Hong Kong,http://43.224.248.29:85,Law's Cloud Infrastructure Limited
113.241.162.171:85,113.241.162.171,85,http,,,CN,Jishou,http://113.241.162.171:85,Chinanet
60.26.15.114:85,60.26.15.114,85,http,,,CN,Tianjin,http://60.26.15.114:85,CHINA UNICOM China169 Backbone
125.107.241.101:85,125.107.241.101,85,http,,,CN,Shaoxing,http://125.107.241.101:85,Chinanet
112.192.193.73:85,112.192.193.73,85,http,,,CN,Ziyang,http://112.192.193.73:85,CHINA UNICOM China169 Backbone
154.50.18.45:85,154.50.18.45,85,http,,,KH,Phnom Penh,http://154.50.18.45:85,ANGKOR DATA COMMUNICATION
119.51.62.155:85,119.51.62.155,85,http,,,CN,Changchun,http://119.51.62.155:85,CHINA UNICOM China169 Backbone
123.12.11.60:85,123.12.11.60,85,http,,,CN,Shangqiu,http://123.12.11.60:85,CHINA UNICOM China169 Backbone
139.215.54.163:85,139.215.54.163,85,http,,,CN,Changchun,http://139.215.54.163:85,CHINA UNICOM China169 Backbone
175.10.197.99:85,175.10.197.99,85,http,,,CN,Changsha,http://175.10.197.99:85,Chinanet
175.22.122.11:85,175.22.122.11,85,http,,,CN,Jilin,http://175.22.122.11:85,CHINA UNICOM China169 Backbone
115.197.82.37:85,115.197.82.37,85,http,,,CN,Hangzhou,http://115.197.82.37:85,Chinanet
118.79.59.101:85,118.79.59.101,85,http,,,CN,Xinzhou,http://118.79.59.101:85,CHINA UNICOM China169 Backbone
175.155.102.138:85,175.155.102.138,85,http,,,CN,Chengdu,http://175.155.102.138:85,CHINA UNICOM China169 Backbone
101.66.198.150:85,101.66.198.150,85,http,,,CN,Jinhua,http://101.66.198.150:85,CHINA UNICOM China169 Backbone
118.249.6.46:85,118.249.6.46,85,http,,,CN,Changsha,http://118.249.6.46:85,Chinanet
115.194.9.5:85,115.194.9.5,85,http,,,CN,Hangzhou,http://115.194.9.5:85,Chinanet
125.118.187.99:85,125.118.187.99,85,http,,,CN,Hangzhou,http://125.118.187.99:85,Chinanet
120.70.60.179:85,120.70.60.179,85,http,,,CN,Kuytun,http://120.70.60.179:85,Chinanet
60.187.247.156:85,60.187.247.156,85,http,,,CN,Shaoxing,http://60.187.247.156:85,Chinanet
116.135.53.236:85,116.135.53.236,85,http,,,CN,Fenyang,http://116.135.53.236:85,CHINA UNICOM China169 Backbone
125.71.73.4:85,125.71.73.4,85,http,,,CN,Chengdu,http://125.71.73.4:85,Chinanet
58.52.16.3:85,58.52.16.3,85,http,,,CN,Shiyan,http://58.52.16.3:85,Chinanet
113.206.99.124:85,113.206.99.124,85,http,,,CN,Chongqing,http://113.206.99.124:85,CHINA UNICOM China169 Backbone
116.135.52.92:85,116.135.52.92,85,http,,,CN,Fenyang,http://116.135.52.92:85,CHINA UNICOM China169 Backbone
101.66.199.252:85,101.66.199.252,85,http,,,CN,Jinhua,http://101.66.199.252:85,CHINA UNICOM China169 Backbone
1.197.251.16:85,1.197.251.16,85,http,,,CN,Luohe,http://1.197.251.16:85,Chinanet
1.197.250.32:85,1.197.250.32,85,http,,,CN,Luohe,http://1.197.250.32:85,Chinanet
115.197.95.125:85,115.197.95.125,85,http,,,CN,Hangzhou,http://115.197.95.125:85,Chinanet
115.197.112.195:85,115.197.112.195,85,http,,,CN,Hangzhou,http://115.197.112.195:85,Chinanet
182.119.209.65:85,182.119.209.65,85,http,,,CN,Zhengzhou,http://182.119.209.65:85,CHINA UNICOM China169 Backbone
101.66.194.201:85,101.66.194.201,85,http,,,CN,Jinhua,http://101.66.194.201:85,CHINA UNICOM China169 Backbone
118.113.40.32:85,118.113.40.32,85,http,,,CN,Chengdu,http://118.113.40.32:85,Chinanet
101.66.194.210:85,101.66.194.210,85,http,,,CN,Jinhua,http://101.66.194.210:85,CHINA UNICOM China169 Backbone
125.43.250.223:85,125.43.250.223,85,http,,,CN,Jiaozuo,http://125.43.250.223:85,CHINA UNICOM China169 Backbone
123.12.186.241:85,123.12.186.241,85,http,,,CN,Zhoukou,http://123.12.186.241:85,CHINA UNICOM China169 Backbone
123.154.47.74:85,123.154.47.74,85,http,,,CN,Wenzhou,http://123.154.47.74:85,CHINA UNICOM China169 Backbone
218.74.46.97:85,218.74.46.97,85,http,,,CN,Hangzhou,http://218.74.46.97:85,Chinanet
112.193.114.138:85,112.193.114.138,85,http,,,CN,Chengdu,http://112.193.114.138:85,CHINA UNICOM China169 Backbone
1.197.32.116:85,1.197.32.116,85,http,,,CN,Xuchang,http://1.197.32.116:85,Chinanet
125.43.243.181:85,125.43.243.181,85,http,,,CN,Jiaozuo,http://125.43.243.181:85,CHINA UNICOM China169 Backbone
223.13.1.109:85,223.13.1.109,85,http,,,CN,Linfen,http://223.13.1.109:85,Chinanet
119.50.254.95:85,119.50.254.95,85,http,,,CN,Yanji,http://119.50.254.95:85,CHINA UNICOM China169 Backbone
182.114.190.68:85,182.114.190.68,85,http,,,CN,Pingdingshan,http://182.114.190.68:85,CHINA UNICOM China169 Backbone
60.26.12.98:85,60.26.12.98,85,http,,,CN,Tianjin,http://60.26.12.98:85,CHINA UNICOM China169 Backbone
171.43.64.31:85,171.43.64.31,85,http,,,CN,Wuhan,http://171.43.64.31:85,Chinanet
124.165.160.80:85,124.165.160.80,85,http,,,CN,Fenyang,http://124.165.160.80:85,CHINA UNICOM China169 Backbone
222.142.195.167:85,222.142.195.167,85,http,,,CN,Nanyang,http://222.142.195.167:85,CHINA UNICOM China169 Backbone
122.231.159.188:85,122.231.159.188,85,http,,,CN,Jiaxing,http://122.231.159.188:85,Chinanet
119.51.65.241:85,119.51.65.241,85,http,,,CN,Changchun,http://119.51.65.241:85,CHINA UNICOM China169 Backbone
123.154.108.254:85,123.154.108.254,85,http,,,CN,Wenzhou,http://123.154.108.254:85,CHINA UNICOM China169 Backbone
123.159.168.191:85,123.159.168.191,85,http,,,CN,Wenzhou,http://123.159.168.191:85,CHINA UNICOM China169 Backbone
112.193.101.77:85,112.193.101.77,85,http,,,CN,Chengdu,http://112.193.101.77:85,CHINA UNICOM China169 Backbone
60.187.244.14:85,60.187.244.14,85,http,,,CN,Shaoxing,http://60.187.244.14:85,Chinanet
101.66.199.65:85,101.66.199.65,85,http,,,CN,Jinhua,http://101.66.199.65:85,CHINA UNICOM China169 Backbone
1.197.248.215:85,1.197.248.215,85,http,,,CN,Luohe,http://1.197.248.215:85,Chinanet
110.248.147.33:85,110.248.147.33,85,http,,,CN,Handan,http://110.248.147.33:85,CHINA UNICOM China169 Backbone
182.112.255.85:85,182.112.255.85,85,http,,,CN,Zhoukou,http://182.112.255.85:85,CHINA UNICOM China169 Backbone
182.122.106.152:85,182.122.106.152,85,http,,,CN,Pingdingshan,http://182.122.106.152:85,CHINA UNICOM China169 Backbone
123.131.62.40:85,123.131.62.40,85,http,,,CN,Weifang,http://123.131.62.40:85,CHINA UNICOM China169 Backbone
42.238.238.232:85,42.238.238.232,85,http,,,CN,Jiaozuo,http://42.238.238.232:85,CHINA UNICOM China169 Backbone
175.22.220.148:85,175.22.220.148,85,http,,,CN,Jilin,http://175.22.220.148:85,CHINA UNICOM China169 Backbone
36.33.225.83:85,36.33.225.83,85,http,,,CN,Hefei,http://36.33.225.83:85,UNICOM AnHui province network
60.187.244.65:85,60.187.244.65,85,http,,,CN,Shaoxing,http://60.187.244.65:85,Chinanet
www.ekesh.cn:85,103.39.222.35,85,http,,ekesh.cn,CN,Guangzhou,http://www.ekesh.cn:85,China Telecom (Group)
124.114.57.125:85,124.114.57.125,85,http,,,CN,Xi'an,http://124.114.57.125:85,Chinanet
101.66.199.171:85,101.66.199.171,85,http,,,CN,Jinhua,http://101.66.199.171:85,CHINA UNICOM China169 Backbone
101.66.198.254:85,101.66.198.254,85,http,,,CN,Jinhua,http://101.66.198.254:85,CHINA UNICOM China169 Backbone
101.66.199.128:85,101.66.199.128,85,http,,,CN,Jinhua,http://101.66.199.128:85,CHINA UNICOM China169 Backbone
171.127.87.165:85,171.127.87.165,85,http,,,CN,Taiyuan,http://171.127.87.165:85,CHINA UNICOM China169 Backbone
123.154.109.203:85,123.154.109.203,85,http,,,CN,Wenzhou,http://123.154.109.203:85,CHINA UNICOM China169 Backbone
139.227.221.250:85,139.227.221.250,85,http,,,CN,Shanghai,http://139.227.221.250:85,China Unicom Shanghai network
115.196.212.57:85,115.196.212.57,85,http,,,CN,Hangzhou,http://115.196.212.57:85,Chinanet
115.204.49.38:85,115.204.49.38,85,http,,,CN,Hangzhou,http://115.204.49.38:85,Chinanet
171.43.65.111:85,171.43.65.111,85,http,,,CN,Wuhan,http://171.43.65.111:85,Chinanet
182.139.163.8:85,182.139.163.8,85,http,,,CN,Chengdu,http://182.139.163.8:85,Chinanet
110.248.147.56:85,110.248.147.56,85,http,,,CN,Handan,http://110.248.147.56:85,CHINA UNICOM China169 Backbone
125.107.78.8:85,125.107.78.8,85,http,,,CN,Shaoxing,http://125.107.78.8:85,Chinanet
119.5.150.152:85,119.5.150.152,85,http,,,CN,Ziyang,http://119.5.150.152:85,CHINA UNICOM China169 Backbone
1.197.250.185:85,1.197.250.185,85,http,,,CN,Luohe,http://1.197.250.185:85,Chinanet
101.204.170.30:85,101.204.170.30,85,http,,,CN,Chengdu,http://101.204.170.30:85,CHINA UNICOM China169 Backbone
42.231.61.42:85,42.231.61.42,85,http,,,CN,Zhengzhou,http://42.231.61.42:85,CHINA UNICOM China169 Backbone
222.142.93.236:85,222.142.93.236,85,http,,,CN,Pingdingshan,http://222.142.93.236:85,CHINA UNICOM China169 Backbone
183.159.190.95:85,183.159.190.95,85,http,,,CN,Hangzhou,http://183.159.190.95:85,Chinanet
171.43.65.83:85,171.43.65.83,85,http,,,CN,Wuhan,http://171.43.65.83:85,Chinanet
124.114.56.91:85,124.114.56.91,85,http,,,CN,Xi'an,http://124.114.56.91:85,Chinanet
171.119.251.243:85,171.119.251.243,85,http,,,CN,Shuozhou,http://171.119.251.243:85,CHINA UNICOM China169 Backbone
183.186.173.82:85,183.186.173.82,85,http,,,CN,Fenyang,http://183.186.173.82:85,CHINA UNICOM China169 Backbone
121.24.98.182:85,121.24.98.182,85,http,,,CN,Handan,http://121.24.98.182:85,CHINA UNICOM China169 Backbone
171.13.118.50:85,171.13.118.50,85,http,,,CN,Zhengzhou,http://171.13.118.50:85,Chinanet
112.19.31.13:85,112.19.31.13,85,http,,,CN,Beijing,http://112.19.31.13:85,"China Mobile Communications Group Co., Ltd."
183.223.157.33:85,183.223.157.33,85,http,,,CN,Guang'an,http://183.223.157.33:85,"China Mobile Communications Group Co., Ltd."
139.208.186.234:85,139.208.186.234,85,http,,,CN,Yanji,http://139.208.186.234:85,CHINA UNICOM China169 Backbone
122.230.38.24:85,122.230.38.24,85,http,,,CN,Huzhou,http://122.230.38.24:85,Chinanet
125.118.148.112:85,125.118.148.112,85,http,,,CN,Hangzhou,http://125.118.148.112:85,Chinanet
60.187.244.108:85,60.187.244.108,85,http,,,CN,Shaoxing,http://60.187.244.108:85,Chinanet
116.135.53.246:85,116.135.53.246,85,http,,,CN,Fenyang,http://116.135.53.246:85,CHINA UNICOM China169 Backbone
1.197.254.137:85,1.197.254.137,85,http,,,CN,Luohe,http://1.197.254.137:85,Chinanet
60.187.244.181:85,60.187.244.181,85,http,,,CN,Shaoxing,http://60.187.244.181:85,Chinanet
122.230.50.107:85,122.230.50.107,85,http,,,CN,Huzhou,http://122.230.50.107:85,Chinanet
27.188.107.194:85,27.188.107.194,85,http,,,CN,Handan,http://27.188.107.194:85,Chinanet
125.118.212.133:85,125.118.212.133,85,http,,,CN,Hangzhou,http://125.118.212.133:85,Chinanet
183.158.58.141:85,183.158.58.141,85,http,,,CN,Hangzhou,http://183.158.58.141:85,Chinanet
119.51.54.97:85,119.51.54.97,85,http,,,CN,Changchun,http://119.51.54.97:85,CHINA UNICOM China169 Backbone
101.204.87.27:85,101.204.87.27,85,http,,,CN,Chengdu,http://101.204.87.27:85,CHINA UNICOM China169 Backbone
119.49.184.201:85,119.49.184.201,85,http,,,CN,Jilin,http://119.49.184.201:85,CHINA UNICOM China169 Backbone
183.129.51.56:85,183.129.51.56,85,http,,,CN,Hangzhou,http://183.129.51.56:85,Chinanet
118.249.6.126:85,118.249.6.126,85,http,,,CN,Changsha,http://118.249.6.126:85,Chinanet
116.17.234.94:85,116.17.234.94,85,http,,,CN,Heyuan,http://116.17.234.94:85,CHINATELECOM Guangdong province Qingyuan 5G network
116.135.16.113:85,116.135.16.113,85,http,,,CN,Fenyang,http://116.135.16.113:85,CHINA UNICOM China169 Backbone
123.163.21.157:85,123.163.21.157,85,http,,,CN,Luoyang,http://123.163.21.157:85,Chinanet
42.238.233.149:85,42.238.233.149,85,http,,,CN,Jiaozuo,http://42.238.233.149:85,CHINA UNICOM China169 Backbone
183.157.28.74:85,183.157.28.74,85,http,,,CN,Hangzhou,http://183.157.28.74:85,Chinanet
60.26.13.85:85,60.26.13.85,85,http,,,CN,Tianjin,http://60.26.13.85:85,CHINA UNICOM China169 Backbone
123.163.20.176:85,123.163.20.176,85,http,,,CN,Luoyang,http://123.163.20.176:85,Chinanet
122.230.40.75:85,122.230.40.75,85,http,,,CN,Huzhou,http://122.230.40.75:85,Chinanet
123.154.111.132:85,123.154.111.132,85,http,,,CN,Wenzhou,http://123.154.111.132:85,CHINA UNICOM China169 Backbone
125.122.6.50:85,125.122.6.50,85,http,,,CN,Hangzhou,http://125.122.6.50:85,Chinanet
113.241.163.6:85,113.241.163.6,85,http,,,CN,Jishou,http://113.241.163.6:85,Chinanet
101.66.194.121:85,101.66.194.121,85,http,,,CN,Jinhua,http://101.66.194.121:85,CHINA UNICOM China169 Backbone
60.26.15.116:85,60.26.15.116,85,http,,,CN,Tianjin,http://60.26.15.116:85,CHINA UNICOM China169 Backbone
